="Filtros Utilizados"
="Vínculo";="TODOS";="Unidade";="PREFEITURA MUNICIPAL DE ARCOS"
="Mês";="01/2025";="Apresentar Por";="CARGOS"
="Gestão de Pessoas / Cargo"
="Cargo";="Servidores";="Salário Base";="Vencimentos Totais";="Descontos";="Líquido"
="Estagiário";="59";="R$ 44.363,84";="R$ 47.612,58";="R$ 248,54";="R$ 47.364,04"
="F. Pub. Ag.de Adm.";="1";="R$ 2.120,16";="R$ 777,39";="R$ 58,30";="R$ 719,09"
="F. Pub. Téc.em Radiologia";="2";="R$ 2.946,43";="R$ 3.745,63";="R$ 438,56";="R$ 3.307,07"
="F.P Medico";="14";="R$ 214.059,30";="R$ 204.031,19";="R$ 53.168,83";="R$ 150.862,36"
="F.P. Agente C. à Endemias";="12";="R$ 33.396,00";="R$ 34.572,36";="R$ 3.449,21";="R$ 31.123,15"
="F.P. Agente C. de Saude";="2";="R$ 6.072,00";="R$ 6.122,59";="R$ 606,91";="R$ 5.515,68"
="F.P. Odontologo";="16";="R$ 38.710,41";="R$ 41.249,57";="R$ 4.236,99";="R$ 37.012,58"
="F.P.Prof Ed. Basica I (Apoio)";="1";="R$ 3.686,44";="R$ 4.194,38";="R$ 521,39";="R$ 3.672,99"
="F.Pub. Atendente";="30";="R$ 47.850,00";="R$ 47.039,98";="R$ 4.582,92";="R$ 42.457,06"
="F.Pub. Aux. de Farmácia";="1";="R$ 1.914,00";="R$ 1.850,20";="R$ 143,74";="R$ 1.706,46"
="F.Pub. Aux. laboratorio";="1";="R$ 1.914,00";="R$ 2.143,67";="R$ 170,16";="R$ 1.973,51"
="F.Pub. Enfermeiro";="48";="R$ 107.006,98";="R$ 106.977,26";="R$ 17.502,47";="R$ 89.474,79"
="F.Pub. Farmaceutico";="5";="R$ 23.826,65";="R$ 25.757,54";="R$ 4.594,14";="R$ 21.163,40"
="F.Pub.Assistente Administracao";="2";="R$ 3.828,00";="R$ 4.150,05";="R$ 327,96";="R$ 3.822,09"
="F.Pub.Aux.Serv.Administrativos";="36";="R$ 47.149,14";="R$ 60.780,95";="R$ 4.940,79";="R$ 55.840,16"
="F.PUB.AUXILIAR ED/CUID. SOCIAL";="5";="R$ 6.415,16";="R$ 8.767,52";="R$ 652,60";="R$ 8.114,92"
="F.PUB.EDUCADOR/CUIDADOR SOCIAL";="22";="R$ 33.916,96";="R$ 35.354,28";="R$ 2.776,90";="R$ 32.577,38"
="F.Pub.Fisioterapeuta";="8";="R$ 26.323,15";="R$ 27.342,05";="R$ 3.347,91";="R$ 23.994,14"
="F.Pub.Motorista";="11";="R$ 15.312,00";="R$ 29.760,52";="R$ 5.156,43";="R$ 24.604,09"
="F.Pub.PEB I";="2";="R$ 5.207,38";="R$ 270,33";="R$ 20,27";="R$ 250,06"
="F.Pub.PEB I - ED. INFANTIL";="1";="R$ 0,00";="R$ 0,00";="R$ 0,00";="R$ 0,00"
