="Filtros Utilizados"
="Exercício";="2026";="";=""
="Histórico de Navegação"
="2025/71140001";="Bancada de Minas";="Custeio MAC - Portaria 8111/2025 - Valor original R$200.012,00";="Emendas Individuais Impositivas por Transferência Especial";="Saúde";="R$ 203.122,72"
="2024/14070007";="Odair Cunha";="Custeio MAC - Portaria 4511/2024 - Valor original R$300.000,00";="Emendas Individuais Impositivas por Transferência Especial";="Saúde";="R$ 92.693,88"
="2024/144803";="Coronel Henrique";="Investimentos - Resolução SEGOV 14/2024 - Valor original R$100.000,00";="Emendas Individuais Impositivas por Transferência Especial";="";="R$ 44.710,90"
="2024/40570001";="Pinheirinho";="Custeio APS - Portaria 3614/2024 - Valor original R$500.000,00";="Emendas Individuais Impositivas por Transferência Especial";="Saúde";="R$ 272.264,92"
="2024/71140002";="Bancada de Minas";="Custeio APS - Portaria 3676/2024 - Valor original R$500.000,00";="Emendas Individuais Impositivas por Transferência Especial";="Saúde";="R$ 79.003,02"
="2022/202281000306";="Hugo Leal Melo";="Investimentos Sociedade Vencer - Valor original R$200.015,00";="Emendas Individuais Impositivas por Transferência Especial";="Assistência Social";="R$ 94.939,89"
="2021/202181000789";="Greyce Elias";="Custeio CRAS - Valor original R$300.000,00";="Emendas Individuais Impositivas por Transferência Especial";="Assistência Social";="R$ 50.045,91"
="2021/202181000790";="Newton Cardoso";="Investimentos Centro de Acolhimento - Valor original R$50.000,00";="Emendas Individuais Impositivas por Transferência Especial";="Assistência Social";="R$ 68.179,11"
="2021/37140012";="Marcelo Aro";="Investimento (veículo) Obras - Portaria 6411/2021 - Valor original R$350.000,00";="Emendas Individuais Impositivas por Transferência Especial";="";="R$ 1.110,21"
="PRONIM TB - 01/06/2026 19:14:02 - EmendaParlamentar"
